Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Best_Value
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,128.0,-0.09567748723169277
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,128.0,-0.09943022571249943
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,128.0,-0.09334835227717832
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,128.0,-0.1044212127614435
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,128.0,-0.11420919799604547
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,128.0,-0.10789428297594457
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,128.0,-0.10931766748503907
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,128.0,-0.13276802998696313
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,128.0,-0.09619813112357715
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,128.0,-0.10995336761436428
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,128.0,-0.09681639783111379
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,128.0,-0.09295126842377577
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,128.0,-0.1008046348313547
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,128.0,-0.09695143625730245
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,128.0,-0.08782282125053721
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,128.0,-0.10051911373309591
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,128.0,-0.11721154331770589
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,122.0,-0.10527729485459593
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,128.0,-0.09982005606784684
0.9,32.0,3.0,32.0,3.0,64.0,32.0,0.01,128.0,-0.10246298742470467
